id,title,category,mizan_classification,source_note,url,download_status,markdown_path,docx_path,raw_html_path
syrian_lawyer_559,صيغة ادعاء بالنصب و الاحتيال مقدم للنيابة العامة + pdf,جزائي,دعوى > جزائية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%a7%d8%af%d8%b9%d8%a7%d8%a1-%d8%a8%d8%a7%d9%84%d9%86%d8%b5%d8%a8-%d9%88-%d8%a7%d9%84%d8%a7%d8%ad%d8%aa%d9%8a%d8%a7%d9%84/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_ادعاء_بالنصب_و_الاحتيال_مقدم_للنيابة_العامة_+_pdf.md,content/legal_templates/lawsuits_requests/docx/صيغة_ادعاء_بالنصب_و_الاحتيال_مقدم_للنيابة_العامة_+_pdf.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_559.html
syrian_lawyer_581,نموذج دعوى اسقاط حضانة عن الأم بسبب زواجها من غير محرم,أحوال شخصية / شرعي,دعوى > أحوال شخصية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%b3%d9%82%d8%a7%d8%b7-%d8%ad%d8%b6%d8%a7%d9%86%d8%a9/,downloaded,content/legal_templates/lawsuits_requests/markdown/نموذج_دعوى_اسقاط_حضانة_عن_الأم_بسبب_زواجها_من_غير_محرم.md,content/legal_templates/lawsuits_requests/docx/نموذج_دعوى_اسقاط_حضانة_عن_الأم_بسبب_زواجها_من_غير_محرم.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_581.html
syrian_lawyer_587,صيغة ونموذج دعوى تخمين مأجور,دعاوى إيجارية,دعوى > مدنية > إيجارات,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%aa%d8%ae%d9%85%d9%8a%d9%86-%d9%85%d8%a3%d8%ac%d9%88%d8%b1/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_ونموذج_دعوى_تخمين_مأجور.md,content/legal_templates/lawsuits_requests/docx/صيغة_ونموذج_دعوى_تخمين_مأجور.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_587.html
syrian_lawyer_598,صيغة و نموذج دعوى غصب عقار  مقدم للنيابة العامة,دعاوى عقارية,دعوى > مدنية > عقارية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d9%86%d9%85%d9%88%d8%b0%d8%ac-%d8%af%d8%b9%d9%88%d9%89-%d8%ba%d8%b5%d8%a8-%d8%b9%d9%82%d8%a7%d8%b1/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_و_نموذج_دعوى_غصب_عقار_مقدم_للنيابة_العامة.md,content/legal_templates/lawsuits_requests/docx/صيغة_و_نموذج_دعوى_غصب_عقار_مقدم_للنيابة_العامة.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_598.html
syrian_lawyer_602,نموذج و صيغة دعوى نفقة زوجية ونفقة طفل,أحوال شخصية / شرعي,دعوى > أحوال شخصية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d9%86%d9%81%d9%82%d8%a9-%d8%b2%d9%88%d8%ac%d9%8a%d8%a9-%d9%88%d9%86%d9%81%d9%82%d8%a9-%d8%b7%d9%81%d9%84/,downloaded,content/legal_templates/lawsuits_requests/markdown/نموذج_و_صيغة_دعوى_نفقة_زوجية_ونفقة_طفل.md,content/legal_templates/lawsuits_requests/docx/نموذج_و_صيغة_دعوى_نفقة_زوجية_ونفقة_طفل.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_602.html
syrian_lawyer_1716,صيغة عقد مقاولة أعمال يصلح لكافة أعمال المقاولات,مدني عام,دعوى > مدنية عامة,منسوب / معد من المحامي حازم الجزار بحسب نص الصفحة - يحتاج مراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%b9%d9%82%d8%af-%d9%85%d9%82%d8%a7%d9%88%d9%84%d8%a9-%d8%a3%d8%b9%d9%85%d8%a7%d9%84/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_عقد_مقاولة_أعمال_يصلح_لكافة_أعمال_المقاولات.md,content/legal_templates/lawsuits_requests/docx/صيغة_عقد_مقاولة_أعمال_يصلح_لكافة_أعمال_المقاولات.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_1716.html
syrian_lawyer_1796,صيغة دعوى مطالبة بمبلغ وحجز احتياطي لقاء أجور سيارة,مدني عام,دعوى > مدنية عامة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d9%85%d8%b7%d8%a7%d9%84%d8%a8%d8%a9-%d8%a8%d9%85%d8%a8%d9%84%d8%ba-%d9%88%d8%ad%d8%ac%d8%b2-%d8%a7%d8%ad%d8%aa%d9%8a%d8%a7%d8%b7%d9%8a-%d9%84%d9%82/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_دعوى_مطالبة_بمبلغ_وحجز_احتياطي_لقاء_أجور_سيارة.md,content/legal_templates/lawsuits_requests/docx/صيغة_دعوى_مطالبة_بمبلغ_وحجز_احتياطي_لقاء_أجور_سيارة.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_1796.html
syrian_lawyer_1801,صيغة دعوى مطالبة بفرق أجور وحجز احتياطي,مدني عام,دعوى > مدنية عامة,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d9%85%d8%b7%d8%a7%d9%84%d8%a8%d8%a9-%d8%a8%d9%81%d8%b1%d9%82-%d8%a3%d8%ac%d9%88%d8%b1-%d9%88%d8%ad%d8%ac%d8%b2-%d8%a7%d8%ad%d8%aa%d9%8a%d8%a7%d8%b7/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_دعوى_مطالبة_بفرق_أجور_وحجز_احتياطي.md,content/legal_templates/lawsuits_requests/docx/صيغة_دعوى_مطالبة_بفرق_أجور_وحجز_احتياطي.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_1801.html
syrian_lawyer_1805,صيغة دعوى اخلاء عقار سكني لعلة دفع 40% من قيمة المأجور,دعاوى إيجارية,دعوى > مدنية > إيجارات,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%ae%d9%84%d8%a7%d8%a1-%d8%b9%d9%82%d8%a7%d8%b1-%d8%b3%d9%83%d9%86%d9%8a-%d9%84%d8%b9%d9%84%d8%a9-%d8%af%d9%81%d8%b9-40-%d9%85%d9%86-%d9%82/,downloaded,content/legal_templates/lawsuits_requests/markdown/صيغة_دعوى_اخلاء_عقار_سكني_لعلة_دفع_40%_من_قيمة_المأجور.md,content/legal_templates/lawsuits_requests/docx/صيغة_دعوى_اخلاء_عقار_سكني_لعلة_دفع_40%_من_قيمة_المأجور.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_1805.html
syrian_lawyer_1817,نموذج و صيغة دعوى ازالة شيوع عقار,دعاوى عقارية,دعوى > مدنية > عقارية,نموذج منشور في نادي المحامي السوري - يحتاج تحقق ومراجعة قبل الاعتماد,https://www.syrian-lawyer.club/%d8%b5%d9%8a%d8%ba%d8%a9-%d8%af%d8%b9%d9%88%d9%89-%d8%a7%d8%b2%d8%a7%d9%84%d8%a9-%d8%b4%d9%8a%d9%88%d8%b9/,downloaded,content/legal_templates/lawsuits_requests/markdown/نموذج_و_صيغة_دعوى_ازالة_شيوع_عقار.md,content/legal_templates/lawsuits_requests/docx/نموذج_و_صيغة_دعوى_ازالة_شيوع_عقار.docx,content/legal_templates/lawsuits_requests/raw_html/syrian_lawyer_1817.html
